No,Src,Gender,Age
1,0-2,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,11_(4-6),Male,(4-6)
12,12_(4-6),Male,(4-6)
13,13_(4-6),Female,(4-6)
14,14_(4-6),Female,(4-6)
15,15_(4-6),Male,(4-6)
16,16_(4-6),Male,(4-6)
17,17_(4-6),Female,(4-6)
18,18_(4-6),Male,(4-6)
19,19_(4-6),Male,(4-6)
20,20_(4-6),Male,(4-6)
21,8-12,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,38-43,
29,,,
30,,,
31,31_(15-20),Male,(15-20)
32,32_(15-20),Male,(15-20)
33,33_(15-20),Female,(15-20)
34,34_(15-20),Female,(15-20)
35,35_(15-20),Female,(15-20)
36,36_(15-20),Male,(15-20)
37,37_(15-20),Male,(15-20)
38,38_(15-20),Male,(15-20)
39,39_(15-20),Female,(15-20)
40,40_(15-20),Female,(15-20)
41,41_(25 - 32),Female,(25 - 32)
42,42_(25 - 32),Male,(25 - 32)
43,43_(25 - 32),Female,(25 - 32)
44,44_(25 - 32),Male,(25 - 32)
45,45_(25 - 32),Male,(25 - 32)
46,46_(25 - 32),Female,(25 - 32)
47,47_(25 - 32),Female,(25 - 32)
48,48_(25 - 32),Male,(25 - 32)
49,49_(25 - 32),Female,(25 - 32)
50,50_(25 - 32),Male,(25 - 32)
51,51_(38-43),Female,(38-43)
52,52_(38-43),Female,(38-43)
53,53_(38-43),Female,(38-43)
54,54_(38-43),Female,(38-43)
55,55_(38-43),Female,(38-43)
56,56_(38-43),Male,(38-43)
57,57_(38-43),Male,(38-43)
58,58_(38-43),Male,(38-43)
59,59_(38-43),Male,(38-43)
60,60_(38-43),Male,(38-43)
61,48-53,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,60-100,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
